Cantidad,t_HC_ID,t_HC_SN,t_HA_ID,t_HA_SN,t_BST_ID,t_BTS_SN,s_HC_ID,s_HC_SN,s_HA_ID,s_HA_SN,s_BST_ID,s_BTS_SN
1000,44,36,69,53,54,81,9461429,26672,26672,40008,40008,24000,24000
5000,221,183,256,171,427,502,60762322,133344,133344,200016,200016,120000,120000
10000,443,358,494,342,995,1172,115794020,266672,266672,400008,400008,240000,240000
15000,659,546,727,513,1644,1928,171133622,400016,400016,600024,600024,360000,360000
20000,877,740,1019,700,2337,2831,225267886,533344,533344,800016,800016,480000,480000
30000,1343,1146,1752,1717,4711,5566,337987014,800016,800016,1200024,1200024,720000,720000
1000,43,35,70,51,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,219,182,244,185,394,477,60762322,133344,133344,200016,200016,120000,120000
10000,430,358,482,353,980,1190,115794020,266672,266672,400008,400008,240000,240000
15000,685,533,776,514,1673,1969,171133622,400016,400016,600024,600024,360000,360000
20000,878,741,1072,705,2718,2905,225267886,533344,533344,800016,800016,480000,480000
30000,1357,1172,1712,1689,4718,5760,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,35,78,47,54,66,9461429,26672,26672,40008,40008,24000,24000
5000,229,182,264,183,400,482,60762322,133344,133344,200016,200016,120000,120000
10000,431,358,479,352,962,1165,115794020,266672,266672,400008,400008,240000,240000
15000,681,543,733,530,1684,1989,171133622,400016,400016,600024,600024,360000,360000
20000,882,742,987,741,2410,2875,225267886,533344,533344,800016,800016,480000,480000
30000,1323,1138,1740,1749,5485,8336,337987014,800016,800016,1200024,1200024,720000,720000
1000,43,35,68,50,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,231,182,243,184,407,475,60762322,133344,133344,200016,200016,120000,120000
10000,456,359,481,342,985,1164,115794020,266672,266672,400008,400008,240000,240000
15000,670,539,733,527,1662,1974,171133622,400016,400016,600024,600024,360000,360000
20000,867,734,986,730,2425,2827,225267886,533344,533344,800016,800016,480000,480000
30000,1331,1134,1734,2751,4977,6042,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,35,133,51,54,64,9461429,26672,26672,40008,40008,24000,24000
5000,221,194,244,171,399,481,60762322,133344,133344,200016,200016,120000,120000
10000,430,358,480,363,961,1253,115794020,266672,266672,400008,400008,240000,240000
15000,667,536,738,514,1636,2003,171133622,400016,400016,600024,600024,360000,360000
20000,885,720,1037,690,2355,2763,225267886,533344,533344,800016,800016,480000,480000
30000,1424,1137,1744,3056,6391,8358,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,35,70,50,65,65,9461429,26672,26672,40008,40008,24000,24000
5000,220,178,244,221,410,492,60762322,133344,133344,200016,200016,120000,120000
10000,459,359,480,349,976,1142,115794020,266672,266672,400008,400008,240000,240000
15000,658,548,745,515,1761,2016,171133622,400016,400016,600024,600024,360000,360000
20000,910,720,987,703,3181,2854,225267886,533344,533344,800016,800016,480000,480000
30000,1334,1139,1753,2745,4779,6150,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,35,86,53,55,64,9461429,26672,26672,40008,40008,24000,24000
5000,219,189,243,169,399,483,60762322,133344,133344,200016,200016,120000,120000
10000,433,374,711,340,958,1144,115794020,266672,266672,400008,400008,240000,240000
15000,668,535,741,517,1634,1927,171133622,400016,400016,600024,600024,360000,360000
20000,894,737,1084,692,2366,2750,225267886,533344,533344,800016,800016,480000,480000
30000,1325,1142,1832,2132,5644,9007,337987014,800016,800016,1200024,1200024,720000,720000
1000,43,35,69,52,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,233,178,378,170,393,528,60762322,133344,133344,200016,200016,120000,120000
10000,451,359,502,437,993,1256,115794020,266672,266672,400008,400008,240000,240000
15000,686,542,772,582,1850,2305,171133622,400016,400016,600024,600024,360000,360000
20000,1009,793,1099,774,2561,3219,225267886,533344,533344,800016,800016,480000,480000
30000,1448,1121,1998,1877,6533,6487,337987014,800016,800016,1200024,1200024,720000,720000
1000,48,34,160,105,58,77,9461429,26672,26672,40008,40008,24000,24000
5000,224,178,286,202,457,503,60762322,133344,133344,200016,200016,120000,120000
10000,445,482,535,355,1016,1241,115794020,266672,266672,400008,400008,240000,240000
15000,700,565,786,577,1973,2248,171133622,400016,400016,600024,600024,360000,360000
20000,931,743,1010,719,2606,3040,225267886,533344,533344,800016,800016,480000,480000
30000,1470,1168,2722,1787,5393,6611,337987014,800016,800016,1200024,1200024,720000,720000
1000,47,34,202,93,63,65,9461429,26672,26672,40008,40008,24000,24000
5000,224,179,257,180,411,518,60762322,133344,133344,200016,200016,120000,120000
10000,439,368,496,351,1052,1223,115794020,266672,266672,400008,400008,240000,240000
15000,768,575,830,577,1851,2403,171133622,400016,400016,600024,600024,360000,360000
20000,986,736,1312,839,2492,2858,225267886,533344,533344,800016,800016,480000,480000
30000,1389,1138,2014,1777,5073,6405,337987014,800016,800016,1200024,1200024,720000,720000
1000,47,50,124,108,59,69,9461429,26672,26672,40008,40008,24000,24000
5000,223,183,271,176,412,517,60762322,133344,133344,200016,200016,120000,120000
10000,442,462,678,371,1165,1812,115794020,266672,266672,400008,400008,240000,240000
15000,695,582,782,546,2344,2505,171133622,400016,400016,600024,600024,360000,360000
20000,1086,823,1123,737,2525,3157,225267886,533344,533344,800016,800016,480000,480000
30000,1384,1130,1880,1828,5304,6597,337987014,800016,800016,1200024,1200024,720000,720000
